club,city,url
Calvert Marine Museum Fossil Club,Solomons,"<a href=""http://www.topekagms.org/"">Topeka Gem &amp; Mineral Society</a>"
Central Maryland Rock and Mineral Collectors Exchange,Elkridge,"<a href=""http://www.wgmsks.org/"">Wichita Gem and Mineral Society</a>"
Chesapeake Gem & Mineral Society,Baltimore,"<a href=""http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html"">Wichita Paleontological Society</a>"
"Gem Cutters Guild of Baltimore, Inc.",Baltimore,"<a name=""ky""></a>"
"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Rockville,"<a href=""http://bggamc.homestead.com/"">Blue Grass Gem &amp; Mineral Club of Central Kentucky</a>"
Maryland Geological Society,Bowie,"<a href=""http://www.kyanageo.org/"">KYANA Geological Society</a>"
Micromineralogists of the National Capital Area,"Washington, DC","<a href=""http://www.uky.edu/OtherOrgs/KPS/"">Kentucky Paleontological Society</a>"
Patuxent Lapidary Guild,Annapolis,"<a name=""la""></a>"
Southern Maryland Rock and Mineral Club,Clinton,"<a href=""http://larockclub.com/"">Ark-La-Tex Gem &amp; Mineral Society</a>"
The Mineralogical Society of the District of Columbia,"Washington, DC","<a href=""http://www.brgemandmineral.org/"">Baton Rouge Gem &amp; Mineral Society</a>"
"Boston Mineral Club, Inc.",Boston,"<a href=""https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/"">DeRidder Gem &amp; Mineral Society</a>"
Connecticut Valley Mineral Club,Springfield,"<a name=""me""></a>"
Micromounters of New England,Chemlsford,"<a href=""http://kennebec-rocksandminerals.com/"">Kennebec Rocks and Minerals Club</a>"
Nashoba Valley Mineralogical Society,Westford,"<a href=""http://mainemineralclub.org/"">Maine Mineralogical &amp; Geological Society</a>"
North Shore Rock & Mineral Club of Massachusetts,South Hamilton,"<a href=""http://ocmgassoc.blogspot.com/"">Oxford County Mineral and Gem Association</a>"
Northern Berkshire Mineral Club,North Adams,"<a href=""http://penobscotminerallapidaryclub.com/index.html"">Penobscot Mineral and Lapidary Club</a>"
Southeastern Massachusetts Mineral Club,Bridgewater,"<a name=""md""></a>"
Worcester Mineral Club,Worcester,"<a href=""http://americanfossilfederation.org/Home.html"">American Fossil Federation</a>"
"Big Rapids Rock, Gem & Mineral Club",Big Rapids,"<a href=""http://www.baltimoremineralsociety.org/"">Baltimore Mineral Society</a>"
Central Michigan Lapidary and Mineral Society,Lansing,"<a href=""http://www.calvertmarinemuseum.com/209/Fossil-Club"">Calvert Marine Museum Fossil Club</a>"
Copper Country Rock and Mineral Club,Dollar Bay,"<a href=""https://www.meetup.com/rockhounds/"">Central Maryland Rock and Mineral Collectors Exchange</a>"
Flint Rock and Gem Club,Flint,"<a href=""http://www.chesapeakegemandmineral.org/"">Chesapeake Gem &amp; Mineral Society</a>"
Grand Traverse Area Rock and Mineral Club,Traverse City,"<a href=""http://www.gemcuttersguild.com/"">Gem Cutters Guild of Baltimore, Inc.</a>"
Indian Mounds Rock & Mineral Club,Wyoming,"<a href=""http://www.glmsmc.com/"">Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.</a>"
Ishpeming Rock and Mineral Club,Ishpeming,"<a href=""http://www.ecphora.net/mgs/"">Maryland Geological Society</a>"
Kalamazoo Geological & Mineral Society,Kalamazoo,"<a href=""http://dcmicrominerals.org/"">Micromineralogists of the National Capital Area</a>"
Livingston Gem & Mineral Society,Howell,"<a href=""http://www.patuxentlapidary.org/"">Patuxent Lapidary Guild</a>"
Michigan Gem & Mineral Society,Michigan Center,"<a href=""http://www.smrmc.org/"">Southern Maryland Rock and Mineral Club</a>"
Michigan Mineralogical Society,Bloomfield Hills,"<a href=""http://www.mineralogicalsocietyofdc.org/"">The Mineralogical Society of the District of Columbia</a>"
Mid-Michigan Rock Club,Midland,"<a name=""ma""></a>"
Midwest Faceters' Guild,Grand Rapids,"<a href=""http://www.bostonmineralclub.org/"">Boston Mineral Club, Inc.</a>"
Midwest Mineralological & Lapidary Society,Taylor,"<a href=""http://www.cvmineralclub.org/"">Connecticut Valley Mineral Club</a>"
Mikenauk Rock and Gem Club,Roscommon,"<a href=""http://micromountersofnewengland.org/"">Micromounters of New England</a>"
Mount Clemens Gem & Lapidary Society,Mt. Clemens,"<a href=""http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society"">Nashoba Valley Mineralogical Society</a>"
Oakland County Earth Science Club,Waterford,"<a href=""http://www.northshorerock.org/"">North Shore Rock &amp; Mineral Club of Massachusetts</a>"
Roamin Club,Livonia,"<a href=""http://nbmclub.webs.com/"">Northern Berkshire Mineral Club</a>"
StateLine Gem & Mineral Society,Morenci,"<a href=""http://semmc.com/"">Southeastern Massachusetts Mineral Club</a>"
"Tulip City Gem & Mineral Club, Inc.",Holland,"<a href=""http://worcestermineralclub.org/"">Worcester Mineral Club</a>"
Anoka County Gem & Mineral Club,Minneapolis,"<a name=""mi""></a>"
"Cuyuna Rock, Gem and Mineral Society",Brainerd,"<a href=""https://sites.google.com/site/bigrapidsrockgemmineralclub/"">Big Rapids Rock, Gem &amp; Mineral Club</a>"
Minnesota Mineral Club,Falcon Heights,"<a href=""http://michrocks.org/"">Central Michigan Lapidary and Mineral Society</a>"
Minnesota Valley Gem & Mineral Club,Mankato,"<a href=""http://www.ccrmc.info/"">Copper Country Rock and Mineral Club</a>"
St Croix Rockhounds,Stillwater,"<a href=""http://www.flintrockandgem.org/"">Flint Rock and Gem Club</a>"
"Harrison County Gem & Mineral Society, Inc.",Gulfport,"<a href=""http://tcrockhounds.com/"">Grand Traverse Area Rock and Mineral Club</a>"
Mississippi Gem & Mineral Society,Jackson,"<a href=""http://www.indianmoundsrockclub.com/"">Indian Mounds Rock &amp; Mineral Club</a>"
Mississippi Geological Society,Jackson,"<a href=""http://www.ishpemingrocks.org/"">Ishpeming Rock and Mineral Club</a>"
Mississippi Gulf Coast Gem and Mineral Society,Ocean Springs,"<a href=""http://kalamazoorockclub.org/"">Kalamazoo Geological &amp; Mineral Society</a>"
North Mississippi Gem and Mineral Society,Tupelo,"<a href=""http://www.livingstongemandmineralsociety.com/"">Livingston Gem &amp; Mineral Society</a>"
Central Missouri Rock and Lapidary Club,Columbia,"<a href=""http://mgmsrockclub.com/"">Michigan Gem &amp; Mineral Society</a>"
Independence Gem & Mineral Society,Independence,"<a href=""https://www.michmin.org/"">Michigan Mineralogical Society</a>"
Missouri Valley Gem & Mineral Society,St. Joseph,"<a href=""http://www.midmichrockclub.com/?Page=1"">Mid-Michigan Rock Club</a>"
"Mozarkite Society of Lincoln, Inc.",Lincoln,"<a href=""http://www.midwestfaceters.org/"">Midwest Faceters' Guild</a>"
Ozark Mountain Gem & Mineral Society,Springfield,"<a href=""http://www.mmls.us/"">Midwest Mineralological &amp; Lapidary Society</a>"
Rock Hobby Club of Greater Saint Louis,St. Louis,"<a href=""http://mikenaukclub.weebly.com/"">Mikenauk Rock and Gem Club</a>"
Rockwood Gem & Mineral Society,St. Louis,"<a href=""http://mcgls.org/"">Mount Clemens Gem &amp; Lapidary Society</a>"
St. Louis Mineral & Gem Society,St. Louis,"<a href=""http://www.ocesc.com/"">Oakland County Earth Science Club</a>"
"Show Me Gems & Minerals Club, Inc.",St. Peters,"<a href=""https://roaminrockclub.weebly.com/"">Roamin Club</a>"
Show-Me Rockhounds Kansas City,Kansas City,"<a href=""http://statelinegms.com/"">StateLine Gem &amp; Mineral Society</a>"
"Billings Gem & Mineral Club, Inc.",Billings,"<a href=""http://www.tulipcity.org/"">Tulip City Gem &amp; Mineral Club, Inc.</a>"
Bitterroot Gem & Mineral Society,Corvallis,"<a name=""mn""></a>"
Bozeman Gem and Mineral Club,Bozeman,"<a href=""http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html"">Anoka County Gem &amp; Mineral Club</a>"
Hellgate Mineral Society,Missoula,"<a href=""http://cuyunarockclub.org/wp/"">Cuyuna Rock, Gem and Mineral Society</a>"
Kalispell Rockhound Club,Kalispell,"<a href=""http://minnesotamineralclub.org/"">Minnesota Mineral Club</a>"
"Lincoln Gem & Mineral Club, Inc.",Lincoln,"<a href=""http://www.mnvalleygemandmineralclub.com/"">Minnesota Valley Gem &amp; Mineral Club</a>"
Comstock Gold Prospectors,Reno,"<a href=""http://stcroixrockhounds.org/"">St Croix Rockhounds</a>"
Great Basin Gem & Mineral Club,Carson City,"<a name=""ms""></a>"
High Desert Rockers,Carson City,"<a href=""http://www.gulfportgems.org/"">Harrison County Gem &amp; Mineral Society, Inc.</a>"
Nye Gold Seekers,Pahrump,"<a href=""http://missgems.org/"">Mississippi Gem &amp; Mineral Society</a>"
Reno Gem and Mineral Society,Reno,"<a href=""http://www.missgeo.com/"">Mississippi Geological Society</a>"
Southern Nevada Gem and Mineral Society,Las Vegas,"<a href=""http://www.mgcgms.org/"">Mississippi Gulf Coast Gem and Mineral Society</a>"
Capital Mineral Club,Concord,"<a href=""http://www.nmgms.org/"">North Mississippi Gem and Mineral Society</a>"
Keene Mineral Club,Keene,"<a name=""mo""></a>"
Saco Valley Gem and Mineral Club,Conway,"<a href=""http://www.cmrlc.org/"">Central Missouri Rock and Lapidary Club</a>"
Southeastern New Hampshire Mineral Club,Dover,"<a href=""http://www.igams.co/"">Independence Gem &amp; Mineral Society</a>"
Cape Atlantic Rockhounds Inc.,Cologne,"<a href=""http://www.movalleyrockclub.com/"">Missouri Valley Gem &amp; Mineral Society</a>"
Delaware Valley Earth Science Society,Woodbury,"<a href=""http://www.mozarkite.com/"">Mozarkite Society of Lincoln, Inc.</a>"
Friends of Mineralogy - New Jersey Chapter,Marlboro Township,"<a href=""https://www.facebook.com/omgms.57"">Ozark Mountain Gem &amp; Mineral Society</a>"
Morris Museum Mineralogical Society,Morristown,"<a href=""xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx"">Rock Hobby Club of Greater Saint Louis</a>"
"New Jersey Mineralogical Society, Inc",Mountainside,"<a href=""http://rockwood.stlearthsci.org/"">Rockwood Gem &amp; Mineral Society</a>"
"North Jersey Mineralogical Society, Inc.",Paterson,"<a href=""http://www.stlrockclub.com/"">St. Louis Mineral &amp; Gem Society</a>"
Albuquerque Gem & Mineral Club,Albuquerque,"<a href=""http://showme.stlearthsci.org/"">Show Me Gems &amp; Minerals Club, Inc.</a>"
Carlsbad Gem and Mineral Society,Carlsbad,"<a href=""https://showmerockhounds.com/"">Show-Me Rockhounds Kansas City</a>"
Deming Gem & Mineral Society,Deming,"<a name=""mt""></a>"
"Grant County Rolling Stones Gem & Mineral Society, Inc.",Silver City,"<a href=""http://www.billingsgemclub.com/"">Billings Gem &amp; Mineral Club, Inc.</a>"
Los Alamos Geological Society,Los Alamos,"<a href=""http://www.ravalligemandmineralclub.org/"">Bitterroot Gem &amp; Mineral Society</a>"
"Buffalo Geological Society, Inc.",Buffalo,"<a href=""http://bozemangemandmineralclub.com/"">Bozeman Gem and Mineral Club</a>"
Capital District Mineral Club,Albany,"<a href=""https://www.facebook.com/HellgateMineralSociety/"">Hellgate Mineral Society</a>"
"Gem and Mineral Society of Syracuse, Inc.",Syracuse,"<a href=""http://www.kalispellrockhounds.org/"">Kalispell Rockhound Club</a>"
Island Rockhounds Inc.,Bellmore,"<a name=""ne""></a>"
Long Island Mineral & Geology Society,Jamesport,"<a href=""https://www.lincolngemmineralclub.org/"">Lincoln Gem &amp; Mineral Club, Inc.</a>"
Mid-Hudson Valley Gem and Mineral Society Inc.,Poughkeepsie,"<a name=""nv""></a>"
Nassau Mineral Club,Glen Cove,"<a href=""http://cgpgold.org/"">Comstock Gold Prospectors</a>"
New York Mineralogical Club,NYC,"<a href=""http://greatbasingemandmineralclub.rocks/"">Great Basin Gem &amp; Mineral Club</a>"
New York Paleontological Society,NYC,"<a href=""https://highdesertrockers.wordpress.com/"">High Desert Rockers</a>"
Orange County Mineral Society,Middletown,"<a href=""http://nyegoldseekers.webs.com/"">Nye Gold Seekers</a>"
Rochester Academy of Science,Rochester,"<a href=""http://www.renorockhounds.com/"">Reno Gem and Mineral Society</a>"
Rochester Lapiday Society,Rochester,"<a href=""http://www.snvgms.org/"">Southern Nevada Gem and Mineral Society</a>"
St. Lawrence County Rock & Mineral Club,Canton,"<a name=""nh""></a>"
Suffolk Gem & Mineral Club,Bay Shore,"<a href=""http://www.capitalmineralclub.org/"">Capital Mineral Club</a>"
Wayne County Gem and Mineral Club,Newark,"<a href=""https://sites.google.com/site/keenemineralclub/home"">Keene Mineral Club</a>"
Cape Fear Mineral & Gem Society,Fayetteville,"<a href=""http://www.sacovalleygemandmineralclub.org/"">Saco Valley Gem and Mineral Club</a>"
Catawba Valley Gem & Mineral Club,Hickory,"<a href=""https://www.senhmc.org/"">Southeastern New Hampshire Mineral Club</a>"
Central North Carolina Mineral Club,Chapel Hill,"<a name=""nj""></a>"
Charlotte Gem & Mineral Club,Charlotte,"<a href=""http://www.capeatlanticrockhounds.com/"">Cape Atlantic Rockhounds Inc.</a>"
Forsyth Gem and Mineral Club,Winston-Salem,"<a href=""http://www.dvess.org/"">Delaware Valley Earth Science Society</a>"
"Gaston Gem, Mineral and Faceters Club",Gastonia,"<a href=""https://fomnj.wordpress.com/"">Friends of Mineralogy - New Jersey Chapter</a>"
Gem & Mineral Society of Franklin,Franklin,"<a href=""http://morrismuseum.org/mineral-society/"">Morris Museum Mineralogical Society</a>"
Greensboro Gem & Mineral Club,Greensboro,"<a href=""http://www.njmin.org/"">New Jersey Mineralogical Society, Inc</a>"
Henderson County Gem and Mineral Society,Hendersonville,"<a href=""http://www.nojms.webs.com/"">North Jersey Mineralogical Society, Inc.</a>"
Mountain Area Gem and Mineral Association (MAGMA),Asheville,"<a name=""nm""></a>"
North Carolina Fossil Club,Raleigh,"<a href=""http://www.agmc.info/"">Albuquerque Gem &amp; Mineral Club</a>"
Southern Appalachian Mineral Society,Asheville,"<a href=""http://www.carlsbadgms.org/"">Carlsbad Gem and Mineral Society</a>"
Tar Heel Gem & Mineral Club,Raleigh,"<a href=""http://www.thedgms.com/"">Deming Gem &amp; Mineral Society</a>"
Central Dakota Gem & Mineral Society,Bismarck,"<a href=""http://rollingstonesgms.blogspot.com/"">Grant County Rolling Stones Gem &amp; Mineral Society, Inc.</a>"
Brukner Gem and Mineral Club,Troy,"<a href=""http://pweb.netcom.com/~hoffmans/LAGS.html"">Los Alamos Geological Society</a>"
Cincinnati Mineral Society,Cincinnati,"<a name=""ny""></a>"
Columbus Rock and Mineral Society,Columbus,"<a href=""http://www.bgsny.org/"">Buffalo Geological Society, Inc.</a>"
Dayton Gem & Mineral Society,Kettering,"<a href=""http://capitaldistrictmineralclub.com/"">Capital District Mineral Club</a>"
Dry Dredgers,Cincinnati,"<a href=""http://www.gmss.us/"">Gem and Mineral Society of Syracuse, Inc.</a>"
Greater Cincinati Lapidary and Faceting Society,Loveland,"<a href=""http://www.islandrockhounds.org/"">Island Rockhounds Inc.</a>"
North Coast Fossil Club,Cleveland,"<a href=""http://www.limineralandgeology.com/LiMags/Home.html"">Long Island Mineral &amp; Geology Society</a>"
Ohio Geological Society,Worthington,"<a href=""http://mhvgms.org/index.html"">Mid-Hudson Valley Gem and Mineral Society Inc.</a>"
Parma Lapidary Club,Cleveland,"<a href=""http://nassaumineralclub.org/"">Nassau Mineral Club</a>"
Richland Lithic & Lapidary Society,Mansfield,"<a href=""http://www.newyorkmineralogicalclub.org/"">New York Mineralogical Club</a>"
Summit Lapidary Club,Cuyahoga Falls,"<a href=""http://www.nyps.org/index.htm"">New York Paleontological Society</a>"
Toledo Gem & Rockhound Club,Toledo,"<a href=""http://www.orangecountymineralsocietynewyork.com/"">Orange County Mineral Society</a>"
"Ada Gem, Mineral and Fossil Club",Ada,"<a href=""http://www.rasny.org/"">Rochester Academy of Science</a>"
Enid Gem & Mineral Society,Enid,"<a href=""http://www.rochesterlapidary.org/"">Rochester Lapiday Society</a>"
Oklahoma Mineral and Gem Society,Oklahoma City,"<a href=""http://stlawrencecountymineralclub.org/"">St. Lawrence County Rock &amp; Mineral Club</a>"
Shawnee Gem and Mineral Society,Shawnee,"<a href=""http://www.suffolkgem.com/"">Suffolk Gem &amp; Mineral Club</a>"
Tulsa Rock and Mineral Society,Tulsa,"<a href=""http://www.wcgmc.org/"">Wayne County Gem and Mineral Club</a>"
Tahlequah Rock and Mineral Society,Tahlequah,"<a name=""nc""></a>"
Central Oregon Rock Collectors,Redmond,"<a href=""http://www.mercergarden.com/GemClub.html"">Cape Fear Mineral &amp; Gem Society</a>"
Clackamette Mineral and Gem Club,Oregon City,"<a href=""http://www.cvgmc.com/"">Catawba Valley Gem &amp; Mineral Club</a>"
Columbia-Willamette Faceters' Guild,Portland/West Linn,"<a href=""http://www.centralncmineralclub.org/"">Central North Carolina Mineral Club</a>"
FarWest Lapidary & Gem Society,North Bend,"<a href=""http://www.charlottegem.com/"">Charlotte Gem &amp; Mineral Club</a>"
Hatrockhounds Gem and Mineral Society,Hermiston,"<a href=""http://www.forsythgemclub.com/fgmcmain.html"">Forsyth Gem and Mineral Club</a>"
Millennium Diggers Club,Portland,"<a href=""http://gastongemclub.weebly.com/"">Gaston Gem, Mineral and Faceters Club</a>"
Mt Hood Rock Club,Gresham,"<a href=""http://www.fgmm.org/"">Gem &amp; Mineral Society of Franklin</a>"
North American Research Group,Hillsboro,"<a href=""http://www.ggmc-rockhounds.com/"">Greensboro Gem &amp; Mineral Club</a>"
"Oregon Agate & Mineral Society, Inc.",Portland,"<a href=""http://hcgms.com/index.html"">Henderson County Gem and Mineral Society</a>"
Oregon Coast Agate Club,Newport,"<a href=""http://www.wncrocks.com/magma/magma.html"">Mountain Area Gem and Mineral Association (MAGMA)</a>"
Prineville Rockhound Pow-Wow Assoc.,Prineville,"<a href=""http://www.ncfossilclub.org/"">North Carolina Fossil Club</a>"
Rock and Arrowhead Club of Klamath Falls,Klamath Falls,"<a href=""http://www.main.nc.us/sams/"">Southern Appalachian Mineral Society</a>"
Springfield Thunderegg Rock Club,Springfield,"<a href=""http://www.tarheelclub.org/"">Tar Heel Gem &amp; Mineral Club</a>"
Tualatin Valley Gem Club,Forest Grove,"<a name=""nd""></a>"
"Willamette Agate and Mineral Society, Inc.",Salem,"<a href=""https://ndrockclub.org/"">Central Dakota Gem &amp; Mineral Society</a>"
"Central Pennsylvania Rock and Mineral Club, Inc.",Harrisburg,"<a name=""oh""></a>"
"Che-Hanna Rock and Mineral Club, Inc.",Sayre,"<a href=""http://www.bruknergemandmineralclub.com/"">Brukner Gem and Mineral Club</a>"
Delaware Valley Paleontological Society,Philadelphia,"<a href=""http://mineralsociety.org/"">Cincinnati Mineral Society</a>"
Friends of Mineralogy - Pennsylvania Chapter,St. Peters,"<a href=""http://www.columbusrockandmineralsociety.org/"">Columbus Rock and Mineral Society</a>"
Gem City Rock and Mineral Society,Erie,"<a href=""https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/"">Dayton Gem &amp; Mineral Society</a>"
Leidy Microscopical Society,Fairless Hills,"<a href=""http://drydredgers.org/"">Dry Dredgers</a>"
"Mason-Dixon Rock, Mineral, Gemological, & Lapidary Club",Hanover,"<a href=""http://cincinnatilapidary.weebly.com/"">Greater Cincinati Lapidary and Faceting Society</a>"
Mineralogical Society of Northeastern Pennsylvania,Moosic,"<a href=""http://ncfclub.org/"">North Coast Fossil Club</a>"
Monongahela Rockhounds,Pittsburgh,"<a href=""https://ohiogeosoc.org/"">Ohio Geological Society</a>"
Monroe County Earth Science Association,Stroudsburg,"<a href=""http://www.parmalapidary.com/"">Parma Lapidary Club</a>"
Moraine Rockbusters,Mars,"<a href=""http://rlls.webs.com/"">Richland Lithic &amp; Lapidary Society</a>"
Nittany Mineralogical Society,State College,"<a href=""http://lapidaryclubofohio.org/"">Summit Lapidary Club</a>"
Pennsylvania Earth Sciences Association,Whitehall,"<a href=""http://rockyreader.com/"">Toledo Gem &amp; Rockhound Club</a>"
Philadelphia Mineralogical Society,Philadelphia,"<a name=""ok""></a>"
Pittsburgh Geological Society,Pittsburgh,"<a href=""http://www.freewebs.com/agmfc/"">Ada Gem, Mineral and Fossil Club</a>"
Tuscarora Lapidary Society,Brookhaven,"<a href=""http://www.enidgemandmineral.org/"">Enid Gem &amp; Mineral Society</a>"
"Rhode Island Mineral Hunters, Inc.",Warwick,"<a href=""http://omgs-minerals.org/"">Oklahoma Mineral and Gem Society</a>"
Aiken Gem and Mineral Society,Aiken,"<a href=""https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/"">Shawnee Gem and Mineral Society</a>"
Columbia Gem & Mineral Society,Columbia,"<a href=""http://www.ttownrockhound.org/"">Tulsa Rock and Mineral Society</a>"
Lowcountry Gem and Mineral Society,North Charleston,"<a href=""http://tramsok.webs.com/"">Tahlequah Rock and Mineral Society</a>"
Pendleton District Gem and Mineral Society,Central,"<a name=""or""></a>"
Western South Carolina Gem and Mineral Society,Greenville,"<a href=""https://corockcollectors.com/"">Central Oregon Rock Collectors</a>"
Sioux Empire Gem and Mineral Society,Sioux Falls,"<a href=""http://www.clackamettegem.org/"">Clackamette Mineral and Gem Club</a>"
Western Dakota Gem & Mineral Society,Rapid City,"<a href=""http://facetersguild.com/"">Columbia-Willamette Faceters' Guild</a>"
Knoxville Gem & Mineral Society,Knoxville,"<a href=""http://www.farwestlapidary.org/"">FarWest Lapidary &amp; Gem Society</a>"
Memphis Archaeological & Geological Society,Memphis,"<a href=""http://jall23.wixsite.com/hatrockhounds"">Hatrockhounds Gem and Mineral Society</a>"
Middle Tennessee Rockhounds,Nashville,"<a href=""http://www.millenniumdiggers.com/"">Millennium Diggers Club</a>"
Mid-Tennessee Gem and Mineral Society,"Murfreesboro, Donelson, Tullahoma","<a href=""https://mthoodrockclub.wordpress.com/"">Mt Hood Rock Club</a>"
Arlington Gem and Mineral Club,Arlington,"<a href=""http://narg-online.com/"">North American Research Group</a>"
Austin Gem and Mineral Society,Austin,"<a href=""http://www.oregonagate.org/"">Oregon Agate &amp; Mineral Society, Inc.</a>"
Central Texas Gem & Mineral Society,Abilene,"<a href=""http://www.coastagates.org/"">Oregon Coast Agate Club</a>"
Chihuahuan Desert Gem and Mineral Club,Alpine,"<a href=""http://prineville.rocks/"">Prineville Rockhound Pow-Wow Assoc.</a>"
Clear Lake Gem and Mineral Society,Houston,"<a href=""http://www.klamathrockclub.org/"">Rock and Arrowhead Club of Klamath Falls</a>"
"Cowtown Gem, Mineral & Glass Society",Fort Worth,"<a href=""http://thundereggrockclub.blogspot.com/"">Springfield Thunderegg Rock Club</a>"
Dallas Gem and Mineral Society,Dallas,"<a href=""https://tvrgc.org/"">Tualatin Valley Gem Club</a>"
Dallas Paleontological Society,Dallas,"<a href=""http://www.wamsi.net/"">Willamette Agate and Mineral Society, Inc.</a>"
East Texas Gem and Mineral Society,Tyler,"<a name=""pa""></a>"
"El Paso Mineral and Gem Society, Inc.",El Paso,"<a href=""http://www.rockandmineral.org/"">Central Pennsylvania Rock and Mineral Club, Inc.</a>"
Fort Worth Gem and Mineral Club,Fort Worth,"<a href=""http://www.chehannarocks.com/"">Che-Hanna Rock and Mineral Club, Inc.</a>"
Fredericksburg Rockhounds,Fredericksburg,"<a href=""https://sites.google.com/site/dvpspaleo/"">Delaware Valley Paleontological Society</a>"
Geological Society of San Antonio,San Antonio,"<a href=""http://www.rasloto.com/FM/"">Friends of Mineralogy - Pennsylvania Chapter</a>"
"Golden Spread Gem, Mineral and Treasure Society",Amarillo,"<a href=""http://www.gemcityrockclub.org/"">Gem City Rock and Mineral Society</a>"
Gulf Coast Gem & Mineral Society,Corpus Christi,"<a href=""http://leidymicroscopical.com/"">Leidy Microscopical Society</a>"
Houston Gem and Mineral Society,Houston,"<a href=""http://topgemz.com/"">Mason-Dixon Rock, Mineral, Gemological, &amp; Lapidary Club</a>"
Lubbock Gem and Mineral Society,Lubbock,"<a href=""http://msnepa.org/"">Mineralogical Society of Northeastern Pennsylvania</a>"
"Midland Gem and Mineral Society, Inc.",Midland,"<a href=""http://www.monongahelarockhounds.org/"">Monongahela Rockhounds</a>"
Oak Cliff Gem and Mineral Society,Dallas,"<a href=""http://www.mdsysconsulting.com/MCESA/"">Monroe County Earth Science Association</a>"
Paleontological Society of Austin,Austin,"<a href=""http://www.morainerockbusters.org/"">Moraine Rockbusters</a>"
Pine Country Gem & Mineral Society,Jasper,"<a href=""http://www.nittanymineral.org/"">Nittany Mineralogical Society</a>"
Piney Woods Gem & Mineral Society,Huntsville,"<a href=""http://www.mineralfest.com/"">Pennsylvania Earth Sciences Association</a>"
Pleasant Oaks Gem & Mineral Club,Dallas,"<a href=""http://www.phillyrocks.org/"">Philadelphia Mineralogical Society</a>"
"Rollin' Rock Club, Inc.",Rollin' Rock Club Of Texas And Any Other State Or Country Of The World and Outer Space,"<a href=""http://www.pittsburghgeologicalsociety.org/index.html"">Pittsburgh Geological Society</a>"
South Texas Geological Society,San Antonio,"<a href=""http://www.lapidary.org/"">Tuscarora Lapidary Society</a>"
Southwest Gem and Mineral Society,San Antonio,"<a name=""ri""></a>"
Texas Faceters Guild,Houston,"<a href=""http://rimh.us/"">Rhode Island Mineral Hunters, Inc.</a>"
"Tri-City Gem and Mineral Society, Inc.",Temple,"<a name=""sc""></a>"
Waco Gem and Mineral Club,Waco,"<a href=""http://www.aikengmfs.org/"">Aiken Gem and Mineral Society</a>"
Williamson County Gem and Mineral Society,Georgetown,"<a href=""http://www.cgams.org/"">Columbia Gem &amp; Mineral Society</a>"
"Wise County Fossil, Rock and Mineral Society",Decatur,"<a href=""http://lowcountrygemandmineralsociety.org/"">Lowcountry Gem and Mineral Society</a>"
Beehive Rock and Gem Club,Ogden,"<a href=""http://www.woodsmere.com/pdgms/"">Pendleton District Gem and Mineral Society</a>"
Cache Rock and Gem Club,Smithfield,"<a href=""http://www.wescagem.org/"">Western South Carolina Gem and Mineral Society</a>"
Golden Spike Gem & Mineral Society,Ogden,"<a name=""sd""></a>"
Mineral Collectors of Utah,Salt Lake City,"<a href=""http://www.segams.org/"">Sioux Empire Gem and Mineral Society</a>"
Moab Rock Club,Moab,"<a href=""http://www.wdgms.org/"">Western Dakota Gem &amp; Mineral Society</a>"
Rockhounders Outreach for Community Knowledge,Sandy,"<a name=""tn""></a>"
Timpanogos Gem & Mineral Society,Provo,"<a href=""http://www.knoxrocks.org/"">Knoxville Gem &amp; Mineral Society</a>"
Tooele Gem & Mineral Society,Tooele,"<a href=""http://www.memphisgeology.org/"">Memphis Archaeological &amp; Geological Society</a>"
Wasatch Gem Society,Salt Lake City,"<a href=""http://www.rockhound.org/"">Middle Tennessee Rockhounds</a>"
Burlington Gem and Mineral Club,Burlington,"<a href=""http://www.mtgms.org/"">Mid-Tennessee Gem and Mineral Society</a>"
Rutland Rock & Mineral Club,Rutland,"<a name=""tx""></a>"
"Gem and Mineral Hunters, Inc.",Manassas,"<a href=""http://www.agemclub.org/"">Arlington Gem and Mineral Club</a>"
Gem and Mineral Society of Lynchburg,Lynchburg,"<a href=""http://www.austingemandmineral.org/index.html"">Austin Gem and Mineral Society</a>"
Gem and Mineral Society of the Virginia Peninsula,Hampton,"<a href=""http://rockclub.txol.net/"">Central Texas Gem &amp; Mineral Society</a>"
"Northern Virginia Mineral Club, Inc.",Arlington,"<a href=""http://www.cdgmc.org/"">Chihuahuan Desert Gem and Mineral Club</a>"
Richmond Gem & Mineral Society,Richmond,"<a href=""http://www.clgms.org/"">Clear Lake Gem and Mineral Society</a>"
Roanoke Valley Mineral & Gem Society,Roanoke,"<a href=""http://cera-fw.org/gem-mineral-glass/"">Cowtown Gem, Mineral &amp; Glass Society</a>"
