title,author,ranking,score,vote,rating
"Inheritor (Foreigner, #3)",C.J. Cherryh,82,"score: 1,392",18 people voted,"4.19 avg rating — 3,610 ratings"
The V Girl,Mya Robarts,83,"score: 1,380",15 people voted,"4.02 avg rating — 7,836 ratings"
"Delirium (Delirium, #1)",Lauren Oliver,84,"score: 1,366",15 people voted,"3.98 avg rating — 392,285 ratings"
Dreamsnake,Vonda N. McIntyre,85,"score: 1,324",18 people voted,"3.86 avg rating — 8,405 ratings"
Women of Wonder: Science-Fiction Stories by Women about Women,Pamela Sargent,86,"score: 1,297",16 people voted,really liked it 4.00 avg rating — 272 ratings
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,87,"score: 1,296",14 people voted,"4.15 avg rating — 35,062 ratings"
"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,88,"score: 1,286",16 people voted,"3.98 avg rating — 11,161 ratings"
"Invader (Foreigner, #2)",C.J. Cherryh,89,"score: 1,276",17 people voted,"4.17 avg rating — 4,058 ratings"
Woman on the Edge of Time,Marge Piercy,89,"score: 1,276",15 people voted,"3.95 avg rating — 12,598 ratings"
China Mountain Zhang,Maureen F. McHugh,91,"score: 1,253",18 people voted,"3.94 avg rating — 3,453 ratings"
"Stardoc (Stardoc, #1)",S.L. Viehl,92,"score: 1,230",16 people voted,"3.80 avg rating — 3,632 ratings"
"MaddAddam (MaddAddam, #3)",Margaret Atwood,93,"score: 1,212",13 people voted,"really liked it 4.00 avg rating — 52,198 ratings"
"Valor's Choice (Confederation, #1)",Tanya Huff,94,"score: 1,165",16 people voted,"3.98 avg rating — 6,898 ratings"
Bellwether,Connie Willis,95,"score: 1,142",13 people voted,"3.93 avg rating — 10,069 ratings"
This Alien Shore,C.S. Friedman,96,"score: 1,130",15 people voted,"4.04 avg rating — 3,261 ratings"
"Primary Inversion (Saga of the Skolian Empire, #1)",Catherine Asaro,97,"score: 1,119",15 people voted,"3.74 avg rating — 3,686 ratings"
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,98,"score: 1,115",12 people voted,"4.29 avg rating — 265,278 ratings"
"Probability Moon (Probability, #1)",Nancy Kress,99,"score: 1,107",15 people voted,"3.61 avg rating — 1,292 ratings"
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,100,"score: 1,083",12 people voted,"4.10 avg rating — 72,363 ratings"
